,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149,S150,S151,S152,S153,S154,S155,S156,S157,S158,S159,S160,S161,S162,S163,S164,S165,S166,S167,S168,S169,S170,S171,S172,S173,S174,S175,S176,S177,S178,S179,S180,S181,S182,S183,S184,S185,S186,S187,S188,S189,S190,S191,S192,S193,S194,S195,S196,S197,S198,S199,S200
D1,244.0,172.0,124.0,90.0,158.0,175.0,0.0,223.0,123.0,0.0,26.0,286.0,296.0,0.0,0.0,265.0,123.0,246.0,122.0,118.0,114.0,259.0,261.0,79.0,297.0,150.0,201.0,284.0,0.0,289.0,160.0,185.0,241.0,218.0,0.0,61.0,69.0,193.0,58.0,80.0,0.0,136.0,190.0,187.0,280.0,18.0,138.0,259.0,49.0,16.0,221.0,156.0,61.0,252.0,249.0,97.0,21.0,89.0,16.0,191.0,290.0,269.0,162.0,243.0,280.0,0.0,28.0,281.0,0.0,116.0,183.0,259.0,0.0,29.0,15.0,112.0,277.0,0.0,18.0,0.0,129.0,82.0,284.0,128.0,183.0,0.0,298.0,158.0,257.0,0.0,118.0,193.0,59.0,67.0,0.0,0.0,96.0,148.0,98.0,214.0,270.0,0.0,121.0,0.0,106.0,0.0,225.0,152.0,69.0,40.0,176.0,32.0,31.0,64.0,77.0,101.0,180.0,0.0,155.0,0.0,199.0,93.0,60.0,205.0,19.0,140.0,91.0,184.0,271.0,0.0,165.0,248.0,192.0,130.0,213.0,0.0,31.0,214.0,122.0,0.0,225.0,130.0,0.0,128.0,217.0,270.0,0.0,109.0,179.0,113.0,0.0,0.0,0.0,142.0,141.0,52.0,182.0,27.0,0.0,164.0,27.0,160.0,0.0,0.0,15.0,294.0,0.0,68.0,225.0,284.0,180.0,55.0,169.0,166.0,269.0,257.0,249.0,260.0,33.0,254.0,190.0,39.0,225.0,152.0,214.0,290.0,229.0,142.0,0.0,230.0,250.0,0.0,99.0,178.0,47.0,57.0,52.0,0.0,70.0,0.0
D2,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,129.0,0.0,0.0,0.0,292.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,136.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,103.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,218.0,187.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,257.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,99.0,0.0,0.0,177.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,74.0,104.0,199.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,126.0,172.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,50.0
